title,first_day,end_day,status,avg_rating,episode_count,description
나의 완벽한 비서,2025.01.03,2025.02.14,종영,10.20%,12부작,일'만' 잘하는 CEO와 일'도' 완벽한 비서의 밀착 케어 로맨스 육아독존 비서 유은호와 유아독존 CEO 강지윤의 본격 케어 로맨스 드라마. 잘나가는 헤드헌터회사 CEO 지만 일 말고는 혼자 할 수 있는 게 아무것도 없는 강지윤 앞에 완벽함으로 무장한 유은호가 비서로 나타나면서 서로가 서로를 성장시키는 이야기.
별들에게 물어봐,2025.01.04,2025.02.23,종영,2.40%,16부작,나의 소중한 일터에 불청객이 찾아왔다. 무중력 우주정거장에서 일하는 보스 '이브'와 비밀스러운 미션을 가진 불청객 '공룡'의 지구밖 생활기
원경 .,2025.01.06,2025.02.11,종영,,12부작,"남편 태종 이방원과 함께 권력을 쟁취한 원경왕후. 왕과 왕비, 남편과 아내, 그 사이 감춰진 뜨거운 이야기"
모텔 캘리포니아,2025.01.10,2025.02.15,종영,4.30%,12부작,"""너의 처음이 나였으면 좋겠어"" 시골 모텔을 배경으로 모텔에서 태어나 모텔에서 자란 여자 주인공이 12년 전 도망친 고향에서 첫사랑과 재회하며 겪는 우여곡절 첫사랑 리모델링 로맨스 드라마"
독수리 5형제를 부탁해!,2025.02.01,2025.08.03,종영,18.40%,54부작,오합지졸 오형제는 막걸리로 대동단결! 오랜 전통의 <독수리술도가>의 개성 만점 5형제와 결혼한 지 열흘 만에 남편의 갑작스러운 죽음으로 졸지에 가장(家長)이 된 맏형수. 그들이 빚어내는 잘 익은 가족이야기.
킥킥킥킥,2025.02.05,2025.03.13,종영,0.80%,12부작,다시 한번 KICK! 세상에 한 방 날리자!! 천만 배우 지진희와 한때 스타 PD였던 조영식이 콘텐츠 제작사를 설립해 유튜브 구독자 300만 달성을 위해 좌충우돌 달려가는 오피스 코미디 드라마
마녀,2025.02.15,2025.03.16,종영,,10부작,어릴 적부터 다가오는 남자 마다 사고가 발생하는 불운의 여자. 동창생 주인공은 모두 우연이라 생각하지만 '마녀'라 불리는 그녀에게 다가갈수록 자신도 점점 위험에 빠진다!
그놈은 흑염룡,2025.02.17,2025.03.24,종영,,12부작,"새로 온 본부장에게서 최악의 첫사랑, ‘흑염룡’의 기운이 느껴진다? 흑역사에 고통받는 ‘본부장 킬러’ 팀장 백수정과 가슴에 흑염룡을 품은 ‘재벌 3세’ 본부장 반주연의 봉인해제 로맨스"
언더커버 하이스쿨,2025.02.21,2025.03.29,종영,6.40%,12부작,학교 어딘가에 금괴가 있다 고종 황제의 사라진 금괴의 행방을 쫓기 위해 신분을 숨기고 고등학생으로 위장 잠입한 국정원 요원의 좌충우돌 N차 고딩 활약기를 그린 코믹 활극
보물섬,2025.02.21,2025.04.12,종영,11.40%,16부작,"좁은 문으로 들어가는 순간, 인생을 건 머니게임이 시작된다 살아남기 위해 2조 원의 정치 비자금을 해킹한 남자와 해킹당한 사실을 모르고 남자를 죽여 2조 원을 영원히 날려버린 비선 실세의 이야기를 담는 드라마"
감자연구소,2025.03.01,2025.04.06,종영,1.60%,12부작,"감자뿐이던 내 연구대상에 이 남자가 굴러왔다! 감자에 울고 웃는 감자 연구소, 감자가 전부인 미경의 인생에 나타난 차가운 원칙주의자 백호. 뱅글뱅글 회오리 감자처럼 휘몰아치는 힐링 코믹로맨스"
라이딩 인생,2025.03.03,2025.03.25,종영,,8부작,오늘도 애태우는 대치동 라이프 딸의 ' 7세 고시 '를 앞둔 열혈 워킹맘 정은이 엄마 지아에게 학원 라이딩을 맡기며 벌어지는 3대 모녀의 '애'태우는 대치동 라이프
협상의 기술,2025.03.08,2025.04.13,종영,7.20%,12부작,M&A의 전설이 온다 전설의 협상가로 불리는 대기업의 M&A 전문가와 그 팀의 활약상을 담은 드라마
빌런의 나라,2025.03.19,2025.04.24,종영,1.70%,24부작,띵동! 주문하신 빌런들이 도착했습니다! K-줌마 자매와 똘끼 충만 가족들의 때론 거칠면서도 때론 따뜻한 일상을 담은 시추에이션 코미디 드라마
이혼 보험,2025.03.31,2025.05.06,종영,,12부작,
신병3,2025.04.07,2025.04.29,종영,,8부작,
바니와 오빠들,2025.04.11,2025.05.17,종영,1.00%,12부작,"그래서 나 누구 좋아하면 되는 거야? 흑역사로 남아버린 첫 연애 이후, 갑자기 다가온 매력적인 남자들과 엮이게 된 바니의 남친 찾기 로맨스 드라마"
언젠가는 슬기로울 전공의생활,2025.04.12,2025.05.18,종영,6.00%,12부작,오늘도 예측할 수 없는 우리들의 하루 '언젠가는 슬기로울' 의사생활을 꿈꾸는 레지던트들이 입덕부정기를 거쳐 성장해 나가는 과정을 담은 '슬기로운 의사생활' 스핀오프 드라마
대운을 잡아라,2025.04.14,2025.10.03,종영,10.10%,121부작,"잡힐 것인가 잡을 것인가 돈 많은, 돈 없는, 돈 많고 싶은 세 친구와 그 가족들이 펼치는 짠내가득 파란만장 성장기"
귀궁,2025.04.18,2025.06.07,종영,9.30%,16부작,"왕에게 원한을 품은 팔척귀와 그에 맞서 싸우는 무녀, 그리고 이무기 강철이의 이야기"
천국보다 아름다운 (드라마),2025.04.19,2025.05.25,종영,6.70%,12부작,나는 당신이 행복했으면 좋겠어 80세의 모습으로 천국에 도착한 해숙이 젊어진 남편 낙준과 재회하면서 벌어지는 현생 초월 로맨스
여왕의 집,2025.04.28,2025.09.19,종영,8.80%,100부작,나는 다시 여왕이 될 것이다 너희가 빼앗은 그 자리에서 완벽한 삶을 송두리째 빼앗긴 여자의 치열한 인생 탈환 복수극! 상위 1%의 여자가 밑바닥에서 다시 피어나 진짜 ‘집’을 찾아간다. 삶의 본질을 되찾기 위해 끝까지 싸워가는 뜨거운 인간 이야기.
24시 헬스클럽,2025.04.30,2025.06.05,종영,1.30%,12부작,나랑 근육 먹고 갈래요? 근성이 넘치는 헬치광이 관장 도현중이 근심이 과다한 헬린이 회원들의 인생을 파격 교정하며 펼쳐지는 두근두근 근(筋)성장 드라마
사계의 봄,2025.05.06,2025.07.02,종영,,10부작,"눈부신 우리의 계절 나의 봄 케이팝 최고 밴드그룹의 스타 ‘사계’가 팀에서 퇴출당하고, 우여곡절 시작된 대학 생활 중 운명처럼 ‘김봄’을 만나 멋지게 재기하는 청춘 음악 로맨스"
당신의 맛,2025.05.12,2025.06.10,종영,2.80%,10부작,"꼭 가져야겠어 그 레시피를, 쓰리스타를, 아니 너의 마음을! 식품 기업을 물려받기 위해 작은 식당을 인수 합병하는 '레시피 사냥꾼'이 된 재벌 상속남 한범우와 전주에서 간판도 없는 원테이블 식당을 운영 중인 똥고집 셰프 모연주의 전쟁 같은 키친 타카 성장 로맨스"
금주를 부탁해,2025.05.12,2025.06.17,종영,,12부작,손절했던 ‘수울’ 메이트와 다시 만났다 지극히 상식적인 애주가라 자평하던 한 여자가 술을 증오하는 첫사랑과 재회하며 금주에 도전하는 맨정신 사수 로맨스
맹감독의 악플러,2025.05.23,2025.05.24,종영,1.20%,2부작,성적 부진으로 퇴출 위기에 놓인 프로농구 감독 '맹공'이 팀 성적을 위해 자신의 악플러 '화진'과 손잡으며 벌어지는 투 맨 게임 코미디
미지의 서울,2025.05.24,2025.06.29,종영,6.50%,12부작,어제는 끝났고 내일은 멀었고 오늘의 서울은 아직 모른다. 얼굴 빼고 모든 게 다른 쌍둥이 자매가 인생을 맞바꾸는 거짓말로 진짜 사랑과 인생을 찾아가는 로맨틱 성장 드라마
노무사 노무진,2025.05.30,2025.06.28,종영,,10부작,목숨을 담보로 한 180일 간의 노무 계약 이행기 유령 보는 노무사의 좌충우돌 노동 문제 해결기를 담은 코믹 판타지 활극
굿보이 (드라마),2025.05.31,2025.07.20,종영,6.00%,16부작,"모두가 뜨거웠던 그날, 우린 영웅이었다 특채로 경찰이 된 메달리스트들이 메달 대신 경찰 신분증을 목에 걸고 비양심과 반칙이 판치는 세상에 맞서 싸우는 코믹 액션 청춘 수사극"
태양을 삼킨 여자,2025.06.09,2025.12.05,방영중,4.70%,120부작,"내게 남은 건 오직 복수뿐이었다 피해자가 가해자로 둔갑한 세상, 하나뿐인 딸의 이름으로 재벌가에 맞선 한 여자의 처절한 복수극을 그린 드라마"
남주의 첫날밤을 가져버렸다,2025.06.11,2025.07.17,종영,2.90%,12부작,평범한 여대생의 영혼이 깃든 로맨스 소설 속 병풍 단역이 소설 최강 집착남주와 하룻밤을 보내며 펼쳐지는 ‘노브레이크’ 경로 이탈 로맨스 판타지
우리 영화,2025.06.13,2025.07.19,종영,,12부작,
살롱 드 홈즈,2025.06.16,2025.07.15,종영,,10부작,"우리 아파트 빌런 잡으러 출~동! 광선주공아파트 추리력 만렙, 전직 에이스 형사와 보험왕, 그리고 알바의 여왕까지! 우리 단지 해결사로 뭉친 여성 4인방이 아파트 빌런을 응징하는 코믹 워맨스 활극"
견우와 선녀,2025.06.23,2025.07.29,종영,,12부작,"첫사랑 사수 '인간 부적' 밀착 로맨스 죽을 운명을 가진 소년과 이를 막으려는 MZ무당 소녀, 열여덟 청춘들의 거침없는 첫사랑 구원 로맨스"
카지노,2025.07.04,2025.07.26,종영,10.40%,16부작,모든 것을 걸었다 우여곡절 끝에 카지노의 왕이 된 한 남자가 일련의 사건으로 모든 것을 잃은 후 생존과 목숨을 걸고 게임에 복귀하는 강렬한 이야기
서초동,2025.07.05,2025.08.10,종영,,12부작,인생 뭐 별거 있어? 다 먹고살자고 하는 일이지! 매일 서초동 법조타운으로 출근하는 어쏘 변호사(법무법인에 고용되어 월급을 받는 변호사) 5인방의 희로애락 성장기
디어엠,2025.07.09,2025.08.14,종영,,12부작,"모든 순간이 설렜던, 영원히 또렷할 그날의 이야기 서연대학교를 발칵 뒤집어놓은 고백 글의 주인공 'M'을 찾으며 핑크빛 추리를 펼치는 무보정 노필터 청춘 로맨스"
착한 사나이,2025.07.18,2025.08.29,종영,,14부작,"사랑도 꿈도 지켜내고 싶었다 건달 3대 집안 장손 석철이 가족과 직장, 사랑을 지키기 위해 겪는 파란만장 사건들을 웃음과 눈물로 그려낸 드라마"
아이쇼핑,2025.07.21,2025.08.12,종영,,8부작,"환불된 아이들의 처절한 복수가 시작된다 양부모에게 버려진 후, 죽음의 문턱에서 가까스로 살아남은 아이들의 처절한 생존과 복수를 그린 액션 스릴러"
내 여자친구는 상남자,2025.07.23,2025.08.28,종영,1.10%,12부작,내 여자친구가 남자가 되었다! 어느 날 갑자기 내 여자친구가 남자가 되었다?! 하루아침에 꽃미남이 되어버린 여자친구 ‘지은’과 그런 여친을 포기할 수 없는 여친 바라기 ‘윤재’가 펼치는 대환장 로맨스!
트라이: 우리는 기적이 된다,2025.07.25,2025.08.30,종영,,,
메리 킬즈 피플,2025.08.01,2025.09.12,종영,1.90%,12부작,안락사... 최선의 선택일까? 치료 불가능한 환자들의 조력 사망을 돕는 의사와 이들을 추적하는 형사의 이야기를 다룬 서스펜스 드라마
에스콰이어: 변호사를 꿈꾸는 변호사들,2025.08.02,2025.09.07,종영,,,
여행을 대신해 드립니다,2025.08.02,2025.08.31,종영,,10부작,떠날 수 없는 당신을 위해 인생에서 한 번도 센터였던 적 없는 아이돌 출신 여행 리포터가 의뢰받은 여행들을 대신해 주며 진정한 성공과 삶의 의미를 깨달아 가는 과정을 그린 본격 힐링 트립 감성 드라마
"첫, 사랑을 위하여",2025.08.04,2025.09.09,종영,,16부작,"우리는 이제 오늘의 행복을 살기로 했다 예상치 못한 인생 2막을 맞이한 싱글맘과 의대생 딸. 내일이 아닌 오늘의 행복을 살기로 한 그들을 찾아온 끝이 아닌 첫, 사랑의 이야기"
화려한 날들,2025.08.09,,방영중,13.50%,50부작,"누구에게나 화려한 날들이 있다 인간은 누구에게나 화려한 날들이 있다. 지금이든, 과거에서든, 앞으로든. 각기 다른 의미로 만나게 되는 화려한 날들에 대한 세대 공감 가족 멜로 이야기"
금쪽같은 내 스타,2025.08.18,2025.09.23,종영,,12부작,눈 떠보니 25년이 사라졌다?! 대한민국 최고의 톱스타가 하루아침에 평범한 중년 여성이 된 후 펼쳐지는 눈물 콧물 휘날리는 세월 순삭 로맨틱 코미디
버터플라이,2025.08.22,2025.09.06,종영,1.90%,6부작,"모든 것을 뒤로한 채 한국에서 조용히 살아가던 전직 미 정보요원 데이비드 정. 그러나 과거의 한 선택이 예상치 못한 파장을 불러오면서, 정체불명의 요원 레베카와 그녀가 속한 비밀 조직 캐디스의 표적이 된다. 평화롭던 그의 삶은 순식간에 무너지고, 숨 막히는 추격과 위협 속에서 데이비드는 자신의 모든 것을 뒤흔들 진실과 마주하게 된다."
트웰브,2025.08.23,2025.09.14,종영,4.10%,8부작,악의 힘에 맞서 세상을 구하라! 인간을 수호하기 위해 인간의 모습으로 살아가고 있는 12천사들이 악의 무리에 맞서는 전투를 그린 액션 히어로물
폭군의 셰프,2025.08.23,2025.09.28,종영,12.00%,12부작,폭군마저 평생 못 잊을 최고의 수라상을 준비하도록 하죠 최고의 순간 과거로 타임슬립한 셰프가 최악의 폭군이자 절대 미각의 소유자인 왕을 만나며 벌어지는 서바이벌 판타지 로맨스 코미디
마이 유스,2025.09.05,2025.10.17,종영,,12부작,시간이 흘러 우리는 무엇이 되었을까 남들보다 늦게 평범한 삶을 시작한 선우해와 자신의 성공을 위해 첫사랑의 평온을 깨뜨려야 하는 성제연의 감성 로맨스 드라마
사마귀 : 살인자의 외출,2025.09.05,2025.09.27,종영,,,
컨피던스맨 KR,2025.09.06,2025.10.12,종영,,12부작,정해진 시나리오대로만 하면 무슨 재미? 사기극의 묘미는 애드립이지! 서로 다른 매력을 가진 신용 사기꾼 세 명이 기상천외한 방법으로 돈과 욕망에 사로잡힌 사람들에게 돈을 탈취하는 과정을 그린 드라마
백번의 추억,2025.09.13,2025.10.19,종영,,12부작,"웃고, 울고, 사랑한 우리의 100번 1980년대 100번 버스 안내양 영례와 종희의 빛나는 우정, 그리고 두 친구의 운명적 남자 재필을 둘러싼 애틋한 첫사랑을 그린 뉴트로 청춘 멜로 드라마"
신사장 프로젝트,2025.09.15,2025.10.28,방영중,,12부작,"전 레전드 협상가, 현 치킨집 사장? 미스터리한 비밀을 가진 신사장이 편법과 준법을 넘나들며 사건을 해결하고 정의를 구현해 내는 분쟁 해결 히어로 드라마"
달까지 가자,2025.09.19,2025.10.25,방영중,2.00%,12부작,우리에게도 있을까...? 이 판을 뒤집을 비장의 한 방! 월급만으론 생존할 수 없는 흙수저 세 여자가 코인 투자에 뛰어들며 벌어지는 하이퍼리얼리즘 생존기
은수 좋은 날,2025.09.20,2025.10.26,방영중,3.80%,12부작,대가를 치르더라도 멈출 수 없는 이유가 있다 가족을 지키고 싶은 학부모 강은수와 두 얼굴의 선생 이경이 우연히 얻은 마약 가방으로 벌이는 위험 처절한 동업 일지
친밀한 리플리,2025.09.22,,방영중,7.70%,100부작,"가족보다 가까운, 그러나 누구보다 위험한 고부 관계로 만난 모녀 리플리가 건향가를 차지하기 위해 거짓말 전쟁을 하는, 발칙하면서도 눈물겨운 인생 역전 분투기를 그린 드라마"
퍼스트레이디,2025.09.24,2025.10.30,방영중,,12부작,세상을 발칵 뒤집은 대통령 부부의 이혼전쟁 대통령에 당선된 남편이 장차 퍼스트레이디가 될 아내에게 이혼을 요구하는 초유의 사건이 벌어지면서 대통령 당선인 부부의 숨 막히는 갈등을 그린 정치 스릴러
착한 여자 부세미,2025.09.29,2025.11.04,방영중,,12부작,"인생 리셋까지 3개월, 죽지 말고 죽여라 인생 리셋까지 카운트다운 3개월! 한 방을 꿈꾸며 시한부 재벌 회장과 계약 결혼을 감행한 흙수저 여자 경호원이 막대한 유산을 노리는 이들을 피해 3개월간 신분을 바꾸고 살아남아야 하는 범죄 로맨스 드라마"
우주메리미,2025.10.10,2025.11.15,방영중,,12부작,위장부부의 진짜보다 더 진짜같은 로맨스 최고급 신혼집 경품을 사수하려는 두 남녀의 달달살벌한 90일간의 위장 신혼기
태풍상사,2025.10.11,2025.11.30,방영중,7.10%,16부작,"나야 강태풍, 무너진 건 시대지 나는 아니야 몸도, 마음도, 지갑도 얼어붙은 1997년 IMF. 직원도, 돈도, 팔 것도 없는 무역회사의 사장이 되어버린 초보 상사맨 ‘강태풍’의 고군분투 성공기"
마리와 별난 아빠들,2025.10.13,,방영중,9.10%,8부작,"마리의 우당탕 아빠 찾아 삼만리! 마리의 우당탕 아빠 찾아 삼만리! 피보다 진하고, 정자보다 끈질긴 별난 가족의 탄생을 그린 드라마"
서울 자가에 대기업 다니는 김 부장 이야기,2025.10.25,2025.11.30,방송 예정,,12부작,자신이 가치 있다고 생각한 모든 것을 한순간에 잃어버린 한 중년 남성이 긴 여정 끝에 마침내 대기업 부장이 아닌 진정한 본인의 모습을 발견하게 되는 이야기를 그린 드라마
이 강에는 달이 흐른다,2025.10.31,2025.12.13,방송 예정,,14부작,
마지막 썸머,2025.11.01,,방송 예정,,12부작,어릴 적부터 친구인 남녀가 판도라의 상자 속에 숨겨둔 첫사랑의 진실을 마주하게 되면서 펼쳐지는 리모델링 로맨스 드라마
얄미운 사랑,2025.11.03,,방송 예정,,16부작,초심을 잃은 국민배우와 정의실현에 목매는 연예부 기자의 디스전쟁! 팩트폭격! 편견타파! 드라마
다음 생은 없으니까,2025.11.10,,방송 예정,,12부작,
키스는 괜히 해서!,2025.11.12,,방송 예정,,14부작,모든 걸 날려버릴 천재지변급 키스가 시작된다! 생계를 위해 애엄마로 위장취업한 싱글녀와 그녀를 사랑하게 된 팀장님의 속앓이 로맨스
UDT: 우리동네 특공대,2025.11.17,,방송 예정,,,
모범택시 3,2025.11.21,,방송 예정,,16부작,세 번째 운행 시작합니다 베일에 가려진 택시회사 무지개 운수 와 택시기사 김도기가 억울한 피해자를 대신해 복수를 완성하는 사적 복수 대행극
러브 미 (드라마),2025.12.05,,방송 예정,,12부작,
경도를 기다리며,2025.12.06,,방송 예정,,12부작,"스무 살, 스물여덟 두 번의 연애를 하고 헤어진 이경도와 서지우가 불륜 스캔들 기사를 보도한 기자와 스캔들 주인공의 아내로 재회해 짠하고 진하게 연애하는 로맨틱 코미디"
프로보노,2025.12.06,,방송 예정,,12부작,출세에 목맨 속물 판사가 본의 아니게 공익변호사가 되는 이야기를 담은 코믹 휴먼 법정물
첫 번째 남자,2025.12.08,,방송 예정,,120부작,복수를 위하여 다른 사람의 삶을 살게 된 여자와 자신의 욕망을 위하여 다른 사람의 삶을 빼앗은 여자의 목숨을 건 치명적 대결을 그린 드라마
판사 이한영,2025.12.19,,방송 예정,,14부작,거대 로펌의 노예로 살다가 10년 전으로 회귀한 적폐 판사 이한영이 새로운 선택으로 거악을 응징하는 정의 구현 회귀 판타지 드라마
아이돌아이,2025.12.22,,방송 예정,,12부작,
로드 오브 머니,2025,,,,,
어디가요? 인기가요!,2025,,,,12부작,-
너 없이 못살아,2025,,,,20부작,한 여자를 둘러싼 세 남자의 사랑이야기
데스페라도,2025,,,,,
코리언즈,2025,,,,,
