title,genre_name,channel_name
대한민국의 웹드라마 목록,웹드라마,
BEGINS ≠ YOUTH,"웹드라마, 청소년, 성장",Xclusive
Dr. 이안,웹드라마,
게임회사 여직원들,웹드라마,
고결한 그대,웹드라마,"네이버TVcast, 라이프타임"
고품격 짝사랑,"웹드라마, 로맨틱, 코미디","소후, 네이버"
고호의 별이 빛나는 밤에,"웹드라마, 로맨틱, 코미디",소후티비
광야로 걸어가 2023,웹드라마,유튜브
괴이 (드라마),"웹드라마, 공포, 미스터리, 스릴러, 서스펜스, 재난, 다크 판타지, 오컬트",
그래서 나는 안티팬과 결혼했다,웹드라마,
"그리다, 봄",웹드라마,네이버 TV
긍정이 체질,웹드라마,TV캐스트 채널홈
김슬기 천재,"웹드라마, 드라마",JTBC
꿈꾸는 대표님,"웹드라마, 웹 드라마",네이버 TV
나는 취준생이다,웹드라마,네이버TV
나를 사랑하지 않는 X에게,웹드라마,
나의 X같은 스무살,"웹드라마, 로맨스",
남고괴담,"웹드라마, 스릴러, 미스터리","트레저, 유튜브"
낯선하루,웹드라마,네이버 TV
내일부터 우리는,웹드라마,네이버 TV
내짝남X날짝남,"웹드라마, 로맨스, 인터랙티브 무비","유튜브, 왓챠"
너 미워! 줄리엣,웹드라마,oksusu
너의 시선이 머무는 곳에,웹드라마,
넘버 식스,웹드라마,Wavve
뇌맘대로 로맨스 LR,웹드라마,oksusu TV
"느껴, 지니","웹드라마, 웹시트콤","유튜브, 페이스북, 올레TV"
다시 만난 너,"웹드라마, 학원물, 로맨스","V LIVE, 네이버TV, 유튜브, 페이스북"
단짠 오피스,"웹드라마, 드라마",MBC EVERY1
대세는 백합,"웹드라마, 웹 드라마",네이버TV
더 미라클,"웹드라마, 판타지",네이버TV
더 페이스테일 시즌1: 신대리야,"웹드라마, 드라마",네이버TV
더블루씨,웹드라마,네이버TV
도대체 무슨 일이야?,웹드라마,다음 tv팟
도시남녀의 사랑법,"웹드라마, 로맨틱 코미디",카카오TV
도전에 반하다,"웹드라마, 로맨스",네이버TV
독고빈은 업뎃중,웹드라마,
두근두근 스파이크,"웹드라마, 로맨스, 스포츠",소후티비
두근두근 스파이크 2,"웹드라마, 로맨스, 스포츠",소후티비
드라마월드,"웹드라마, 드라마, 예능","비키, 넷플릭스"
딜리버리 (웹 드라마),웹드라마,
또한번 엔딩,웹드라마,"유튜브, 페이스북, 인스타그램"
뜻밖의 히어로즈,"웹드라마, 드라마",네이버 TV캐스트
러닝메이트 (드라마),"웹드라마, 정치, 학원",
러브 인 메모리 2 - 아빠의 노트,웹드라마,네이버 TV
로맨스 블루,웹드라마,네이버 TV
로맨스 특별법,웹드라마,네이버TV
로스:타임:라이프 (2015년 드라마),"웹드라마, 웹 드라마","네이버TV, TV조선"
루비루비럽,로맨스/웹드라마,네이버TV
리플레이 : 다시 시작되는 순간,웹드라마,"유튜브, 네이버TV, Seezn"
리플레이: 다시 시작되는 순간,웹드라마,
마술학교,"웹드라마, 드라마",JTBC
마음의 소리 (시트콤),"웹드라마, TV 드라마, 시트콤",네이버 TV
마음의 소리: 얼간이들,"웹드라마, 드라마 · 시트콤",넷플릭스
마이 온리 러브송,웹드라마,
막판로맨스,"웹드라마, 드라마",KBS 2TV
맛있는 연애,"웹드라마, 웹 드라마",네이버 TV
매칭! 소년양궁부,웹드라마,네이버TV
먹는 존재,"웹드라마, 코미디, 드라마","네이버TV, 오에이엘"
며느라기,"웹드라마, 드라마",카카오TV
모모살롱,웹드라마,"네이버 TV, 유투브, G마켓"
모민의 방,"웹드라마, 드라마",OCN
무한동력,웹드라마,네이버 TV
미라클 (드라마),웹드라마,
미미쿠스,"웹드라마, 하이틴 드라마",네이버 나우
밤이 되었습니다,"웹드라마, 공포, 미스터리, 스릴러, 서바이벌",U+모바일tv
방과 후 복불복,웹드라마,"SK 전 채널(NATE, Btv, T스토어, 호핀)MBC every1"
109 별일 다 있네,"웹드라마, SF/웹 드라마",네이버TV
범프 업 비즈니스,웹드라마,
복수노트,"웹드라마, 드라마, 로맨스, 하이틴","oksusu, B TV"
복수노트 2,"웹드라마, 드라마, 로맨스, 하이틴","XtvN, oksusu"
브랜딩 인 성수동,"웹드라마, 오피스, 로맨스",U+모바일tv
비터스윗러브 시즌1 - 봄의 거짓말,웹드라마,"네이버TV, 유튜브"
빛나는 나라,웹드라마,투니버스
"사랑, 기억에 머물다",웹드라마,"V LIVE, 네이버TV"
사랑병도 반환이 되나요,"로맨스 코미디, 웹드라마","네이버TV, V LIVE, 유튜브"
사이: 여우비 내리다,웹드라마,
새빛남고 학생회,웹드라마,
생츄어리 (드라마),"웹드라마, SF, 판타지",Syfy
세가지색 판타지,"웹드라마, 드라마",MBC
소녀의 세계 (웹드라마),"웹드라마, 드라마음악",
소년을 위로해줘,웹드라마,
손가락만 까딱하면,"웹드라마, 학원물, 로맨스",콬TV
손의 흔적,"웹드라마, 웹 드라마",네이버TV
수사관 앨리스,"웹드라마, 웹 드라마",네이버 TV
스타트 러브,웹드라마,
스파크 (드라마),"웹드라마, SF, 로맨스","네이버TV, K-STAR"
시크릿 메세지,"웹드라마, 웹 드라마","네이버캐스트, dTV"
썸남썸녀,웹드라마,다음 tv팟
썸머인디고,"웹드라마, BL",Shortime
썸타는 편의점,"웹드라마, 로맨스",
아는 사람,"웹드라마, 웹 시리즈",네이버캐스트
아름다웠던 우리에게,"웹드라마, 로맨스","카카오TV, SBS"
아만자,"웹드라마, 판타지, 드라마",카카오TV
아이돌 권한대행,"웹드라마, 웹 드라마",네이버TV
아이돌마스터.KR - 꿈을 드림,"웹드라마, 드라마","SBS funE, SBS 플러스, SBS MTV, DATV"
아이언레이디 (드라마),"웹드라마, 로맨틱 코미디 드라마",네이버 TV캐스트
아이엠 (드라마),"웹드라마, SF/로맨스",네이버TV
악동탐정스,"웹드라마, 웹 드라마",네이버TV
악몽선생,웹드라마,네이버TV
안나푸르나 (드라마),"웹드라마, 드라마",
알 수도 있는 사람,"웹드라마, 드라마","네이버TV, JTBC 온라인"
약한영웅 Class 1,웹드라마,
얘네들 MONEY?!,웹드라마,네이버TV
어른애들,웹드라마,유튜브
어른연습생,웹드라마,
어쩌다 18,웹드라마,"네이버TV, JTBC 온라인"
언어의 온도 : 우리의 열아홉,웹드라마,"V LIVE, 네이버TV, 유튜브"
에이틴 (드라마),"웹드라마, 학원물, 로맨스","V LIVE, 네이버TV, 유튜브, 페이스북"
에이틴 2,웹드라마,"V LIVE, 네이버TV, 유튜브, 페이스북"
연애 지상주의 구역,"웹드라마, BL, 멜로, 로맨스, 판타지",시네마천국
연애미수,웹드라마,"V LIVE, 네이버TV, 유튜브, 페이스북"
연애세포 시즌 1,"웹드라마, 웹 드라마",네이버TV
연애세포 시즌 2,"웹드라마, 웹 드라마",네이버TV
연애혁명 (드라마),"웹드라마, 개그, 로맨스, 드라마",카카오TV
열일곱 (드라마),웹드라마,"네이버TV, 페이스북, 유튜브"
0시의 그녀,"웹드라마, 웹 드라마",네이버TV
옐로우 (드라마),웹드라마,"네이버TV, 유튜브, 페이스북"
오늘도 평화로운 중고나라,웹드라마,
왜 태어났니?,웹드라마,tvN D
우리 연애 시뮬레이션,웹드라마,
우리 옆집에 EXO가 산다,웹드라마,JTBC2
우리 헤어졌어요,"웹드라마, 드라마",네이버TV
인서울 - 내가 독립하는 유일한 방법,웹드라마,
인서울2,웹드라마,
1%의 어떤 것 (2016년 드라마),"웹드라마, 드라마","iHQ DRAMA, 라이프타임"
일진에게 찍혔을 때,웹드라마,
재즈처럼,"웹드라마, BL, 멜로, 로맨스",시네마천국
저주받은 로맨스,웹드라마,
점핑걸,웹드라마,다음 tv팟
조아서 구독중 2,"웹드라마, TV 드라마",투니버스
조아서 먹방중,"웹드라마, TV 드라마, 판타지, 먹방",투니버스
좀 예민해도 괜찮아,웹드라마,"네이버TV, 유튜브, 페이스북"
좀 예민해도 괜찮아 시즌2,웹드라마,"네이버TV, 유튜브, 페이스북, V LIVE"
짧은대본,웹드라마,"네이버TV, 페이스북, 유튜브"
찌질의 역사 (2025년 드라마),"웹드라마, 로맨스","Wavve, 왓챠"
천년째 연애중,"웹드라마, 드라마",네이버TV
첫 키스만 일곱 번째,웹드라마,
초코뱅크,웹드라마,
최고의 미래,"웹드라마, 웹 드라마","네이버TV, 다음 tv팟"
최고의 엔딩,웹드라마,"네이버TV, 유튜브, 페이스북"
출중한 여자,웹드라마,네이버 TV
컬러 러쉬,웹드라마,
KBS 웹드라마 스페셜,웹드라마,KBS 1TV
클릭 유어 하트,학교 / 웹드라마,"MBC every1, 네이버TV"
타임테이블 (드라마),웹드라마,유튜브
토정로맨스,"웹드라마, 드라마",유튜브
통 메모리즈,"웹드라마, 액션","다음 tv팟, 웨이브 (스트리밍 서비스)"
통통한 연애,웹드라마,"네이버TV, 유튜브, 페이스북"
통통한 연애 시즌2,웹드라마,"네이버TV, 유튜브, 페이스북, V-LINE"
투 비 컨티뉴드,"웹드라마, 드라마","MBC EVERY1, 네이버 TV"
투모로우보이,웹드라마,네이버 TV
트웬티 트웬티,웹드라마,
파랑의 온도,웹드라마,유튜브
퐁당퐁당 Love,"웹드라마, 드라마","MBC, 네이버 TV캐스트"
"프로, 틴","웹드라마, 학원물",
픽고,웹드라마,
하와유브레드,웹드라마,Seezn
하이쿠키,웹드라마,U+모바일tv
하지 말라면 더 하고 19,웹드라마,"네이버TV, 유튜브, 페이스북"
한국방송공사 웹드라마,웹드라마,
허식당,"웹드라마, 타임슬립, 판타지, 로맨틱 코미디","Wavve, 넷플릭스"
힙한 선생,"웹드라마, 드라마","네이버TV, JTBC 온라인"
